*	NAME	s	MX	dMX	MY	dMY
$	%s	%le	%le	%le	%le	%le
BR3.DVT3L4-BR3.UES12L3	113.46	-0.16129488	0.097841741	-0.30521249	0.037104141
BR3.DVT3L4-BR3.UES13L3	123.278	0.34856693	0.1209284	-5.2416043	0.012528992
BR3.DVT3L4-BR3.UES14L3	133.095	0.08121737	0.11148586	1.7998361	0.040780687
BR3.DVT3L4-BR3.UES15L3	142.913	-0.35638256	0.031366427	4.6307002	0.071439254
BR3.DVT3L4-BR3.UES16L3	152.73	-0.11264762	0.042261997	-3.293218	0.013681193
BR3.DVT5L4-BR3.UES1L3	5.467	-0.41454615	0.058067667	4.73469	0.0089561026
BR3.DVT5L4-BR3.UES2L3	15.285	-0.087447308	0.046841954	-3.1403763	0.0061974302
BR3.DVT5L4-BR3.UES3L3	25.103	0.33870333	0.016398805	-3.9605935	0.023896416
BR3.DVT5L4-BR3.UES4L3	34.92	0.053283494	0.02018067	4.4927993	0.
BR3.DVT5L4-BR3.UES5L3	44.738	-0.36347521	0.055553464	2.2516859	0.0092507781
BR3.DVT5L4-BR3.UES6L3	54.555	-0.20122537	0.054586819	4.8239223	0.015296222
BR3.DVT5L4-BR3.UES7L3	64.373	0.3347883	0.023977442	-2.8303598	0.031147766
BR3.DVT5L4-BR3.UES8L3	74.19	0.12581512	0.020569371	-4.2091299	0.0090485789
BR3.DVT5L4-BR3.UES9L3	84.008	-0.38863335	0.042380894	4.0512797	0.
BR3.DVT5L4-BR3.UES10L3	93.825	-0.17695291	0.067868804	2.8502966	0.
BR3.DVT5L4-BR3.UES11L3	103.643	0.37105189	0.041645631	-4.9872505	0.030007933
BR3.DVT5L4-BR3.UES12L3	113.46	0.10124204	0.023782525	-1.497995	0.012724283
BR3.DVT5L4-BR3.UES13L3	123.278	-0.39775633	0.057887861	5.3577483	0.0095476547
BR3.DVT5L4-BR3.UES14L3	133.095	-0.11662849	0.	-0.16593845	0.
BR3.DVT5L4-BR3.UES15L3	142.913	0.37009742	0.022561833	-5.3414874	0.026164454
